"","Year","Month","Sex","n","freq","cumul.sum","aflabel","frequency","SE","CI"
"1",2017,"April","female",350,0.126490784242862,0.126490784242862,"2767",0.126,0.00631915,0.012385533
"2",2017,"January","female",357,0.116438356164384,0.116438356164384,"3066",0.116,0.005792692,0.011353677
"3",2017,"May","female",416,0.114442916093535,0.114442916093535,"3635",0.114,0.005280202,0.010349195
"4",2018,"April","female",454,0.126886528787032,0.126886528787032,"3578",0.127,0.005564458,0.010906338
"5",2018,"January","female",437,0.126924194016846,0.126924194016846,"3443",0.127,0.005673221,0.011119513
"6",2018,"May","female",462,0.11660777385159,0.11660777385159,"3962",0.117,0.00509898,0.009994002
"7",2019,"April","female",477,0.113274756589884,0.113274756589884,"4211",0.113,0.00488392,0.009572484
"8",2019,"January","female",481,0.125130072840791,0.125130072840791,"3844",0.125,0.005336554,0.010459647
"9",2019,"May","female",517,0.112391304347826,0.112391304347826,"4600",0.112,0.004656914,0.009127551
"10",2020,"April","female",590,0.124367622259696,0.124367622259696,"4744",0.124,0.004791177,0.009390707
"11",2020,"January","female",517,0.128319682303301,0.128319682303301,"4029",0.128,0.005268981,0.010327203
"12",2020,"May","female",576,0.124432922877511,0.124432922877511,"4629",0.124,0.004851418,0.00950878
