"","Continent","n","freq","cumul.sum","label","frequency","Cutoff"
"1","Africa",9,0.0140625,0.0140625,"",0.014,"Above/Equal to"
"2","Asia",47,0.0734375,0.0875,"",0.073,"Above/Equal to"
"3","Asia (China)",12,0.01875,0.10625,"",0.019,"Above/Equal to"
"4","Europe",234,0.365625,0.471875,"",0.366,"Above/Equal to"
"5","North America",287,0.4484375,0.9203125,"",0.448,"Above/Equal to"
"6","Oceania",22,0.034375,0.9546875,"",0.034,"Above/Equal to"
"7","South America",29,0.0453125,1,"N=640",0.045,"Above/Equal to"
"8","Africa",3,0.0116731517509728,0.0116731517509728,"",0.012,"Below"
"9","Asia",37,0.143968871595331,0.155642023346304,"",0.144,"Below"
"10","Asia (China)",59,0.229571984435798,0.385214007782101,"",0.23,"Below"
"11","Europe",55,0.214007782101167,0.599221789883268,"",0.214,"Below"
"12","North America",88,0.342412451361868,0.941634241245136,"",0.342,"Below"
"13","Oceania",14,0.0544747081712062,0.996108949416342,"",0.054,"Below"
"14","South America",1,0.00389105058365759,1,"N=257",0.004,"Below"
"15","Africa",12,0.0133779264214047,0.0133779264214047,"",0.013,"Total"
"16","Asia",84,0.0936454849498328,0.107023411371237,"",0.094,"Total"
"17","Asia (China)",71,0.0791527313266444,0.186176142697882,"",0.079,"Total"
"18","Europe",289,0.322185061315496,0.508361204013378,"",0.322,"Total"
"19","North America",375,0.418060200668896,0.926421404682274,"",0.418,"Total"
"20","Oceania",36,0.040133779264214,0.966555183946488,"",0.04,"Total"
"21","South America",30,0.0334448160535117,1,"N=897",0.033,"Total"
